Surface,Chambres,SDB,Quartier,Ville,Année_construction,Meublé,Étage,Ascenseur,Garage,Climatisation,Cuisine_équipée,Vue_mer,Proximité_transports,Balcon,Prix
114.90142459033697,2,2,Agdal,Rabat,2016,1.0,5,1,1,1,0.0,1,0.0,1.0,850326.2298137699
95.85207096486447,1,1,Hay Riad,Fès,2014,1.0,1,0,1,1,1.0,1,1.0,1.0,554978.2253419862
119.43065614302077,5,2,Oasis,Fès,1989,0.0,2,1,0,1,0.0,1,1.0,1.0,622030.6155029925
145.69089569224076,2,3,Gueliz,Tanger,1974,0.0,2,1,0,1,1.0,0,1.0,0.0,936471.4541090032
92.97539875829992,1,2,Agdal,Rabat,2006,0.0,4,1,0,0,0.0,1,0.0,1.0,435994.6221093796
92.97589129152459,5,3,Oasis,,1981,0.0,1,0,0,0,1.0,0,0.0,0.0,816834.836563822
147.37638446522175,4,1,Oasis,Tanger,1995,1.0,4,0,1,0,0.0,0,1.0,1.0,781649.2200841513
123.02304187458726,2,3,Hay Riad,Rabat,1953,1.0,3,1,0,0,0.0,0,1.0,1.0,785781.1991724763
85.91576842195144,4,2,Maarif,Marrakech,1972,1.0,3,0,1,0,0.0,0,0.0,1.0,573685.5661219509
116.27680130757894,3,2,Maarif,Fès,1971,0.0,1,0,0,1,1.0,0,1.0,1.0,719260.6963179002
86.09746921562613,5,2,Maarif,Fès,1982,1.0,3,1,1,0,0.0,1,1.0,1.0,730407.953526505
86.0281073928923,5,2,Maarif,Fès,1990,0.0,0,1,0,1,0.0,1,0.0,1.0,683368.0412168246
107.25886814698103,2,1,Gueliz,Marrakech,2011,1.0,0,0,0,1,1.0,1,1.0,0.0,640078.7007210893
42.601592660266064,5,3,Agdal,Casablanca,1987,1.0,0,1,1,0,1.0,1,,1.0,466360.32710179844
48.252465024609016,3,2,Agdal,Rabat,2005,1.0,3,0,0,1,1.0,0,1.0,1.0,268867.16596692515
83.13137412277082,5,3,Gueliz,Tanger,2012,0.0,2,0,0,0,1.0,1,1.0,1.0,715304.982161334
69.61506638996728,1,1,Hay Riad,Tanger,2004,1.0,0,0,1,1,0.0,1,0.0,0.0,476571.78337673686
109.42741997785822,4,3,Agdal,Fès,2000,0.0,4,0,0,0,0.0,0,1.0,1.0,1055303.9562216909
72.75927773436368,3,2,Oasis,Casablanca,2014,0.0,2,0,0,0,1.0,0,1.0,1.0,539741.296981369
57.63088895994125,3,3,Agdal,Rabat,2006,0.0,1,1,1,1,0.0,0,1.0,1.0,441096.217278179
143.96946306764661,4,2,Gueliz,Rabat,1976,1.0,3,1,0,0,1.0,0,0.0,1.0,801887.509461397
93.22671098540393,4,2,Hay Riad,Tanger,2006,1.0,4,1,1,0,0.0,1,1.0,0.0,639184.3704748371
102.02584614063771,3,1,Agdal,Tanger,2004,1.0,1,1,0,1,0.0,1,1.0,1.0,667788.7723349059
57.257554413596296,4,1,Gueliz,Tanger,2021,1.0,3,1,0,0,1.0,0,1.0,1.0,353368.4806571478
83.66851826424451,2,3,Oasis,Rabat,1953,0.0,5,1,0,0,1.0,1,1.0,1.0,681368.1062540513
103.32767769129599,4,3,Maarif,Tanger,2014,1.0,3,1,1,1,0.0,0,1.0,0.0,689128.871860391
65.47019267733091,1,2,Oasis,Rabat,2005,0.0,4,0,0,0,0.0,0,0.0,1.0,472248.6853235837
111.27094055037016,1,2,Oasis,Fès,2002,0.0,5,0,1,0,1.0,0,0.0,0.0,569718.5675996051
81.98083930243585,2,2,Hay Riad,Casablanca,1993,1.0,3,1,1,0,1.0,1,1.0,0.0,604967.787797579
91.2491875062017,4,2,Agdal,Tanger,1965,0.0,3,0,1,0,0.0,0,1.0,0.0,605059.2964434566
81.9488016331181,1,1,Maarif,Rabat,1972,0.0,3,1,0,0,0.0,0,1.0,0.0,592957.8237213714
155.56834553526812,5,2,Gueliz,Fès,1980,1.0,2,0,0,0,0.0,0,0.0,0.0,981889.2603084355
99.59508325786199,4,1,Maarif,Marrakech,1977,0.0,0,0,0,1,0.0,0,1.0,1.0,516703.42079468135
68.26867213132299,2,3,Agdal,Fès,1999,1.0,5,0,0,1,1.0,1,0.0,0.0,512046.0882127277
124.67634736309567,4,3,Hay Riad,Casablanca,1965,1.0,4,0,1,1,1.0,0,1.0,0.0,665118.3670972602
63.374690500869335,3,1,Agdal,Fès,1990,0.0,2,1,1,1,0.0,1,0.0,0.0,501834.0370627753
106.26590785014267,3,2,Gueliz,Tanger,1958,1.0,4,1,0,1,1.0,1,0.0,0.0,870067.7223093241
41.20989628360673,1,3,Maarif,Tanger,1951,0.0,2,1,1,1,1.0,1,0.0,1.0,394814.2226474805
60.154418533047085,3,1,Oasis,Marrakech,1992,1.0,3,1,1,1,0.0,0,0.0,0.0,443068.6990372443
105.90583707607371,2,3,Agdal,Rabat,2015,1.0,5,0,0,0,0.0,1,1.0,0.0,743060.3706795182
122.1539973998623,1,2,Hay Riad,Fès,1998,1.0,3,1,0,0,1.0,1,1.0,1.0,662148.0524208408
105.14104843569912,2,1,Hay Riad,Marrakech,1970,1.0,5,0,1,0,1.0,0,1.0,1.0,554988.2154699047
96.53055152835279,2,3,Maarif,Tanger,1968,1.0,5,0,0,1,1.0,0,1.0,1.0,690137.381129489
90.96688913232134,3,2,Oasis,Rabat,2006,0.0,5,1,0,1,1.0,0,0.0,0.0,591941.7311823653
55.644340288977176,3,1,Gueliz,Rabat,2009,1.0,2,0,1,1,1.0,1,1.0,0.0,664008.2911213278
78.40467374815874,2,1,Oasis,Casablanca,1968,0.0,3,1,1,0,1.0,1,0.0,0.0,681490.534147285
86.18083687120638,3,1,Maarif,Tanger,2013,1.0,5,1,1,0,1.0,0,0.0,1.0,490431.9217297587
131.71366678656747,3,1,Oasis,Rabat,1984,0.0,0,1,0,1,0.0,1,1.0,1.0,741304.5569056777
110.30854868705384,3,3,Maarif,Casablanca,1982,0.0,4,1,1,1,0.0,1,0.0,0.0,620408.1233185787
